Sample,tissue,tissue_type,repertoire_type,class,total_reads_tool,total_reads_RNA_seq,tool,TCR_derived_by_RNA_seq_tool
sample12,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,14.0,107919183,TRUST4,0.129726704843568
sample13,melanoma,T_cell_poor,low_SDI,T_cell_poor_low_SDI,1546.0,80622502,TRUST4,19.17578792084622
sample14,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,110.0,55931661,TRUST4,1.9666857381546385
SRR5233637,small_intestine,T_cell_poor,high_SDI,T_cell_poor_high_SDI,646.0,72720367,CATT,8.883343506778507
SRR5233639,lymph_node,T_cell_rich,high_SDI,T_cell_rich_high_SDI,2960.0,65998918,CATT,44.849220103881095
TCGA-CZ-4862,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,30.0,58529923,CATT,0.5125583370406963
TCGA-CZ-5463,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,43.0,122632451,CATT,0.3506412833581871
TCGA-CZ-5985,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,22.0,83862519,CATT,0.26233411853512295
sample01,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,16166.0,104984482,CATT,153.98466222846153
sample02,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,9844.0,73892845,CATT,133.21993489356106
sample03,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,11125.0,71654976,CATT,155.25788467223825
sample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,848.0,43179989,CATT,19.638726633302294
sample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,270.0,40524817,CATT,6.662584065462899
sample06,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,4738.0,82476159,CATT,57.44690414111064
sample07,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,87.0,72397468,CATT,1.2016994848493872
sample08,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,610.0,85492431,CATT,7.135134571152855
sample09,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,437.0,68584414,CATT,6.371710050624622
sample10,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,167.0,63320771,CATT,2.637365233597677
sample11,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,139.0,55727841,CATT,2.4942649402118415
sample12,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,137.0,107919183,CATT,1.2694684688263438
sample13,melanoma,T_cell_poor,low_SDI,T_cell_poor_low_SDI,844.0,80622502,CATT,10.468541400513717
sample14,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,128.0,55931661,CATT,2.288507040761761
